
===== Classifying modified proteins as such ====
G1FV3-24795-MONOMER: Updating molecular-weight-seq from NIL to 43.794
G1FV3-26465-MONOMER: Updating molecular-weight-seq from NIL to 34.514
G1FV3-27963-MONOMER: Updating molecular-weight-seq from NIL to 36.789
G1FV3-24796-MONOMER: Updating molecular-weight-seq from NIL to 30.96
G1FV3-30049-MONOMER: Updating molecular-weight-seq from NIL to 48.967
G1FV3-27964-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24797-MONOMER: Updating molecular-weight-seq from NIL to 100.977
G1FV3-28320-MONOMER: Updating molecular-weight-seq from NIL to 59.931
G1FV3-26466-MONOMER: Updating molecular-weight-seq from NIL to 11.894
G1FV3-30050-MONOMER: Updating molecular-weight-seq from NIL to 54.594
G1FV3-24798-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27965-MONOMER: Updating molecular-weight-seq from NIL to 29.806
G1FV3-28321-MONOMER: Updating molecular-weight-seq from NIL to 70.87
G1FV3-24799-MONOMER: Updating molecular-weight-seq from NIL to 70.474
G1FV3-27966-MONOMER: Updating molecular-weight-seq from NIL to 57.125
G1FV3-26467-MONOMER: Updating molecular-weight-seq from NIL to 51.411
G1FV3-30051-MONOMER: Updating molecular-weight-seq from NIL to 8.761
G1FV3-24800-MONOMER: Updating molecular-weight-seq from NIL to 50.004
G1FV3-27967-MONOMER: Updating molecular-weight-seq from NIL to 72.206
G1FV3-28322-MONOMER: Updating molecular-weight-seq from NIL to 101.526
G1FV3-24801-MONOMER: Updating molecular-weight-seq from NIL to 70.189
G1FV3-27969-MONOMER: Updating molecular-weight-seq from NIL to 59.895
G1FV3-26468-MONOMER: Updating molecular-weight-seq from NIL to 48.624
G1FV3-27970-MONOMER: Updating molecular-weight-seq from NIL to 65.187
G1FV3-24802-MONOMER: Updating molecular-weight-seq from NIL to 37.535
G1FV3-30052-MONOMER: Updating molecular-weight-seq from NIL to 8.7
G1FV3-28324-MONOMER: Updating molecular-weight-seq from NIL to 75.389
G1FV3-24803-MONOMER: Updating molecular-weight-seq from NIL to 55.035
G1FV3-27971-MONOMER: Updating molecular-weight-seq from NIL to 84.277
G1FV3-26469-MONOMER: Updating molecular-weight-seq from NIL to 27.432
G1FV3-27972-MONOMER: Updating molecular-weight-seq from NIL to 102.177
G1FV3-24804-MONOMER: Updating molecular-weight-seq from NIL to 16.181
G1FV3-30053-MONOMER: Updating molecular-weight-seq from NIL to 104.066
G1FV3-30054-MONOMER: Updating molecular-weight-seq from NIL to 53.587
G1FV3-27973-MONOMER: Updating molecular-weight-seq from NIL to 25.476
G1FV3-24805-MONOMER: Updating molecular-weight-seq from NIL to 92.403
G1FV3-28325-MONOMER: Updating molecular-weight-seq from NIL to 72.476
G1FV3-26470-MONOMER: Updating molecular-weight-seq from NIL to 52.572
G1FV3-28047-MONOMER: Updating molecular-weight-seq from NIL to 37.371
G1FV3-24806-MONOMER: Updating molecular-weight-seq from NIL to 47.994
G1FV3-27974-MONOMER: Updating molecular-weight-seq from NIL to 9.497
G1FV3-28326-MONOMER: Updating molecular-weight-seq from NIL to 21.578
G1FV3-30055-MONOMER: Updating molecular-weight-seq from NIL to 21.548
G1FV3-28327-MONOMER: Updating molecular-weight-seq from NIL to 43.772
G1FV3-27975-MONOMER: Updating molecular-weight-seq from NIL to 13.812
G1FV3-26471-MONOMER: Updating molecular-weight-seq from NIL to 49.817
G1FV3-28026-MONOMER: Updating molecular-weight-seq from NIL to 62.818
G1FV3-24807-MONOMER: Updating molecular-weight-seq from NIL to 37.315
G1FV3-27976-MONOMER: Updating molecular-weight-seq from NIL to 47.543
G1FV3-30056-MONOMER: Updating molecular-weight-seq from NIL to 83.004
G1FV3-27977-MONOMER: Updating molecular-weight-seq from NIL to 59.122
G1FV3-26472-MONOMER: Updating molecular-weight-seq from NIL to 19.551
G1FV3-24808-MONOMER: Updating molecular-weight-seq from NIL to 22.128
G1FV3-27978-MONOMER: Updating molecular-weight-seq from NIL to 15.552
G1FV3-26473-MONOMER: Updating molecular-weight-seq from NIL to 36.257
G1FV3-30057-MONOMER: Updating molecular-weight-seq from NIL to 65.198
G1FV3-28328-MONOMER: Updating molecular-weight-seq from NIL to 139.088
G1FV3-27979-MONOMER: Updating molecular-weight-seq from NIL to 17.673
G1FV3-28329-MONOMER: Updating molecular-weight-seq from NIL to 41.198
G1FV3-27983-MONOMER: Updating molecular-weight-seq from NIL to 86.562
G1FV3-24809-MONOMER: Updating molecular-weight-seq from NIL to 106.125
G1FV3-26474-MONOMER: Updating molecular-weight-seq from NIL to 42.985
G1FV3-27981-MONOMER: Updating molecular-weight-seq from NIL to 75.857
G1FV3-30058-MONOMER: Updating molecular-weight-seq from NIL to 110.712
G1FV3-27982-MONOMER: Updating molecular-weight-seq from NIL to 43.846
G1FV3-24810-MONOMER: Updating molecular-weight-seq from NIL to 47.18
G1FV3-28330-MONOMER: Updating molecular-weight-seq from NIL to 16.016
G1FV3-26475-MONOMER: Updating molecular-weight-seq from NIL to 29.449
G1FV3-30059-MONOMER: Updating molecular-weight-seq from NIL to 76.245
G1FV3-28862-MONOMER: Updating molecular-weight-seq from NIL to 6.347
G1FV3-24811-MONOMER: Updating molecular-weight-seq from NIL to 28.916
G1FV3-27984-MONOMER: Updating molecular-weight-seq from NIL to 33.649
G1FV3-26476-MONOMER: Updating molecular-weight-seq from NIL to 55.605
G1FV3-27985-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-30060-MONOMER: Updating molecular-weight-seq from NIL to 272.113
G1FV3-28331-MONOMER: Updating molecular-weight-seq from NIL to 24.606
G1FV3-28662-MONOMER: Updating molecular-weight-seq from NIL to 12.453
G1FV3-24812-MONOMER: Updating molecular-weight-seq from NIL to 20.739
G1FV3-27986-MONOMER: Updating molecular-weight-seq from NIL to 53.084
G1FV3-26477-MONOMER: Updating molecular-weight-seq from NIL to 107.121
G1FV3-27987-MONOMER: Updating molecular-weight-seq from NIL to 110.336
G1FV3-28332-MONOMER: Updating molecular-weight-seq from NIL to 109.272
G1FV3-30061-MONOMER: Updating molecular-weight-seq from NIL to 21.353
G1FV3-24813-MONOMER: Updating molecular-weight-seq from NIL to 58.715
G1FV3-27989-MONOMER: Updating molecular-weight-seq from NIL to 58.924
G1FV3-26478-MONOMER: Updating molecular-weight-seq from NIL to 102.637
G1FV3-30062-MONOMER: Updating molecular-weight-seq from NIL to 60.644
G1FV3-28333-MONOMER: Updating molecular-weight-seq from NIL to 32.067
G1FV3-27990-MONOMER: Updating molecular-weight-seq from NIL to 28.336
G1FV3-28334-MONOMER: Updating molecular-weight-seq from NIL to 28.95
G1FV3-28046-MONOMER: Updating molecular-weight-seq from NIL to 21.026
G1FV3-24814-MONOMER: Updating molecular-weight-seq from NIL to 29.166
G1FV3-27991-MONOMER: Updating molecular-weight-seq from NIL to 44.108
G1FV3-26479-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-30064-MONOMER: Updating molecular-weight-seq from NIL to 73.102
G1FV3-27992-MONOMER: Updating molecular-weight-seq from NIL to 36.224
G1FV3-24815-MONOMER: Updating molecular-weight-seq from NIL to 43.549
G1FV3-27993-MONOMER: Updating molecular-weight-seq from NIL to 65.697
G1FV3-26480-MONOMER: Updating molecular-weight-seq from NIL to 82.657
G1FV3-30065-MONOMER: Updating molecular-weight-seq from NIL to 36.18
G1FV3-27994-MONOMER: Updating molecular-weight-seq from NIL to 19.671
G1FV3-28335-MONOMER: Updating molecular-weight-seq from NIL to 39.312
G1FV3-28336-MONOMER: Updating molecular-weight-seq from NIL to 24.449
G1FV3-24816-MONOMER: Updating molecular-weight-seq from NIL to 73.488
G1FV3-27995-MONOMER: Updating molecular-weight-seq from NIL to 42.717
G1FV3-26481-MONOMER: Updating molecular-weight-seq from NIL to 30.843
G1FV3-30066-MONOMER: Updating molecular-weight-seq from NIL to 74.479
G1FV3-27996-MONOMER: Updating molecular-weight-seq from NIL to 66.657
G1FV3-28337-MONOMER: Updating molecular-weight-seq from NIL to 141.899
G1FV3-24817-MONOMER: Updating molecular-weight-seq from NIL to 25.976
G1FV3-27997-MONOMER: Updating molecular-weight-seq from NIL to 24.496
G1FV3-26482-MONOMER: Updating molecular-weight-seq from NIL to 106.371
G1FV3-27999-MONOMER: Updating molecular-weight-seq from NIL to 56.705
G1FV3-30067-MONOMER: Updating molecular-weight-seq from NIL to 42.051
G1FV3-24818-MONOMER: Updating molecular-weight-seq from NIL to 51.302
G1FV3-28000-MONOMER: Updating molecular-weight-seq from NIL to 44.919
G1FV3-26483-MONOMER: Updating molecular-weight-seq from NIL to 93.548
G1FV3-28001-MONOMER: Updating molecular-weight-seq from NIL to 127.972
G1FV3-28338-MONOMER: Updating molecular-weight-seq from NIL to 25.829
G1FV3-28002-MONOMER: Updating molecular-weight-seq from NIL to 46.232
G1FV3-24819-MONOMER: Updating molecular-weight-seq from NIL to 28.744
G1FV3-30068-MONOMER: Updating molecular-weight-seq from NIL to 77.616
G1FV3-26484-MONOMER: Updating molecular-weight-seq from NIL to 71.589
G1FV3-28003-MONOMER: Updating molecular-weight-seq from NIL to 27.012
G1FV3-28339-MONOMER: Updating molecular-weight-seq from NIL to 18.607
G1FV3-24820-MONOMER: Updating molecular-weight-seq from NIL to 34.215
G1FV3-30069-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28562-MONOMER: Updating molecular-weight-seq from NIL to 645.909
G1FV3-28004-MONOMER: Updating molecular-weight-seq from NIL to 59.988
G1FV3-26485-MONOMER: Updating molecular-weight-seq from NIL to 31.849
G1FV3-28340-MONOMER: Updating molecular-weight-seq from NIL to 27.176
G1FV3-28006-MONOMER: Updating molecular-weight-seq from NIL to 63.201
G1FV3-24821-MONOMER: Updating molecular-weight-seq from NIL to 60.027
G1FV3-30070-MONOMER: Updating molecular-weight-seq from NIL to 57.89
G1FV3-26486-MONOMER: Updating molecular-weight-seq from NIL to 49.618
G1FV3-28007-MONOMER: Updating molecular-weight-seq from NIL to 49.531
G1FV3-30071-MONOMER: Updating molecular-weight-seq from NIL to 92.08
G1FV3-28342-MONOMER: Updating molecular-weight-seq from NIL to 87.704
G1FV3-28011-MONOMER: Updating molecular-weight-seq from NIL to 23.596
G1FV3-24822-MONOMER: Updating molecular-weight-seq from NIL to 95.368
G1FV3-26487-MONOMER: Updating molecular-weight-seq from NIL to 58.14
G1FV3-28014-MONOMER: Updating molecular-weight-seq from NIL to 62.799
G1FV3-28343-MONOMER: Updating molecular-weight-seq from NIL to 35.581
G1FV3-28057-MONOMER: Updating molecular-weight-seq from NIL to 12.7
G1FV3-24823-MONOMER: Updating molecular-weight-seq from NIL to 59.557
G1FV3-30072-MONOMER: Updating molecular-weight-seq from NIL to 27.72
G1FV3-26488-MONOMER: Updating molecular-weight-seq from NIL to 33.625
G1FV3-28016-MONOMER: Updating molecular-weight-seq from NIL to 34.053
G1FV3-28344-MONOMER: Updating molecular-weight-seq from NIL to 220.366
G1FV3-28017-MONOMER: Updating molecular-weight-seq from NIL to 24.266
G1FV3-24824-MONOMER: Updating molecular-weight-seq from NIL to 36.227
G1FV3-30073-MONOMER: Updating molecular-weight-seq from NIL to 52.635
G1FV3-26489-MONOMER: Updating molecular-weight-seq from NIL to 112.048
G1FV3-28018-MONOMER: Updating molecular-weight-seq from NIL to 24.603
G1FV3-30082-MONOMER: Updating molecular-weight-seq from NIL to 38.968
G1FV3-28345-MONOMER: Updating molecular-weight-seq from NIL to 29.996
G1FV3-24825-MONOMER: Updating molecular-weight-seq from NIL to 20.466
G1FV3-28346-MONOMER: Updating molecular-weight-seq from NIL to 47.413
G1FV3-28019-MONOMER: Updating molecular-weight-seq from NIL to 40.547
G1FV3-26490-MONOMER: Updating molecular-weight-seq from NIL to 32.216
G1FV3-28020-MONOMER: Updating molecular-weight-seq from NIL to 24.764
G1FV3-26491-MONOMER: Updating molecular-weight-seq from NIL to 41.773
G1FV3-24826-MONOMER: Updating molecular-weight-seq from NIL to 35.648
G1FV3-30075-MONOMER: Updating molecular-weight-seq from NIL to 35.123
G1FV3-28021-MONOMER: Updating molecular-weight-seq from NIL to 56.609
G1FV3-26492-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28347-MONOMER: Updating molecular-weight-seq from NIL to 95.506
G1FV3-28022-MONOMER: Updating molecular-weight-seq from NIL to 18.444
G1FV3-24827-MONOMER: Updating molecular-weight-seq from NIL to 54.813
G1FV3-30076-MONOMER: Updating molecular-weight-seq from NIL to 14.339
G1FV3-28023-MONOMER: Updating molecular-weight-seq from NIL to 157.293
G1FV3-26493-MONOMER: Updating molecular-weight-seq from NIL to 46.364
G1FV3-30077-MONOMER: Updating molecular-weight-seq from NIL to 58.35
G1FV3-28024-MONOMER: Updating molecular-weight-seq from NIL to 34.926
G1FV3-28348-MONOMER: Updating molecular-weight-seq from NIL to 58.174
G1FV3-26494-MONOMER: Updating molecular-weight-seq from NIL to 110.051
G1FV3-24828-MONOMER: Updating molecular-weight-seq from NIL to 85.679
G1FV3-28025-MONOMER: Updating molecular-weight-seq from NIL to 13.258
G1FV3-28349-MONOMER: Updating molecular-weight-seq from NIL to 56.694
G1FV3-30078-MONOMER: Updating molecular-weight-seq from NIL to 38.496
G1FV3-28029-MONOMER: Updating molecular-weight-seq from NIL to 60.746
G1FV3-24829-MONOMER: Updating molecular-weight-seq from NIL to 37.455
G1FV3-26495-MONOMER: Updating molecular-weight-seq from NIL to 100.386
G1FV3-28028-MONOMER: Updating molecular-weight-seq from NIL to 49.758
G1FV3-30079-MONOMER: Updating molecular-weight-seq from NIL to 13.91
G1FV3-28350-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24830-MONOMER: Updating molecular-weight-seq from NIL to 39.357
G1FV3-28351-MONOMER: Updating molecular-weight-seq from NIL to 72.48
G1FV3-28030-MONOMER: Updating molecular-weight-seq from NIL to 141.116
G1FV3-26496-MONOMER: Updating molecular-weight-seq from NIL to 117.898
G1FV3-30080-MONOMER: Updating molecular-weight-seq from NIL to 44.35
G1FV3-24831-MONOMER: Updating molecular-weight-seq from NIL to 51.642
G1FV3-28377-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28032-MONOMER: Updating molecular-weight-seq from NIL to 138.185
G1FV3-26497-MONOMER: Updating molecular-weight-seq from NIL to 77.118
G1FV3-30081-MONOMER: Updating molecular-weight-seq from NIL to 30.033
G1FV3-28033-MONOMER: Updating molecular-weight-seq from NIL to 38.225
G1FV3-24832-MONOMER: Updating molecular-weight-seq from NIL to 34.257
G1FV3-28034-MONOMER: Updating molecular-weight-seq from NIL to 65.662
G1FV3-26498-MONOMER: Updating molecular-weight-seq from NIL to 16.857
G1FV3-28035-MONOMER: Updating molecular-weight-seq from NIL to 140.155
G1FV3-28353-MONOMER: Updating molecular-weight-seq from NIL to 44.953
G1FV3-24833-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26499-MONOMER: Updating molecular-weight-seq from NIL to 43.608
G1FV3-28059-MONOMER: Updating molecular-weight-seq from NIL to 70.182
G1FV3-24834-MONOMER: Updating molecular-weight-seq from NIL to 66.866
G1FV3-28039-MONOMER: Updating molecular-weight-seq from NIL to 121.315
G1FV3-28355-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-30083-MONOMER: Updating molecular-weight-seq from NIL to 85.087
G1FV3-28356-MONOMER: Updating molecular-weight-seq from NIL to 135.04
G1FV3-28040-MONOMER: Updating molecular-weight-seq from NIL to 183.127
G1FV3-26500-MONOMER: Updating molecular-weight-seq from NIL to 20.1
G1FV3-30084-MONOMER: Updating molecular-weight-seq from NIL to 131.133
G1FV3-28041-MONOMER: Updating molecular-weight-seq from NIL to 28.87
G1FV3-24835-MONOMER: Updating molecular-weight-seq from NIL to 77.89
G1FV3-28357-MONOMER: Updating molecular-weight-seq from NIL to 42.039
G1FV3-26501-MONOMER: Updating molecular-weight-seq from NIL to 59.111
G1FV3-30085-MONOMER: Updating molecular-weight-seq from NIL to 21.863
G1FV3-28043-MONOMER: Updating molecular-weight-seq from NIL to 42.009
G1FV3-26502-MONOMER: Updating molecular-weight-seq from NIL to 53.736
G1FV3-24836-MONOMER: Updating molecular-weight-seq from NIL to 19.974
G1FV3-28044-MONOMER: Updating molecular-weight-seq from NIL to 75.345
G1FV3-28358-MONOMER: Updating molecular-weight-seq from NIL to 47.483
G1FV3-30086-MONOMER: Updating molecular-weight-seq from NIL to 69.205
G1FV3-28045-MONOMER: Updating molecular-weight-seq from NIL to 14.801
G1FV3-24837-MONOMER: Updating molecular-weight-seq from NIL to 53.551
G1FV3-26503-MONOMER: Updating molecular-weight-seq from NIL to 35.949
G1FV3-30087-MONOMER: Updating molecular-weight-seq from NIL to 110.632
G1FV3-28359-MONOMER: Updating molecular-weight-seq from NIL to 20.222
G1FV3-28048-MONOMER: Updating molecular-weight-seq from NIL to 16.33
G1FV3-24838-MONOMER: Updating molecular-weight-seq from NIL to 35.486
G1FV3-26504-MONOMER: Updating molecular-weight-seq from NIL to 68.66
G1FV3-28360-MONOMER: Updating molecular-weight-seq from NIL to 37.489
G1FV3-28049-MONOMER: Updating molecular-weight-seq from NIL to 62.991
G1FV3-26505-MONOMER: Updating molecular-weight-seq from NIL to 22.924
G1FV3-24839-MONOMER: Updating molecular-weight-seq from NIL to 88.617
G1FV3-30088-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28050-MONOMER: Updating molecular-weight-seq from NIL to 42.174
G1FV3-28361-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-30092-MONOMER: Updating molecular-weight-seq from NIL to 83.927
G1FV3-28051-MONOMER: Updating molecular-weight-seq from NIL to 89.673
G1FV3-24840-MONOMER: Updating molecular-weight-seq from NIL to 14.792
G1FV3-28056-MONOMER: Updating molecular-weight-seq from NIL to 131.929
G1FV3-28376-MONOMER: Updating molecular-weight-seq from NIL to 25.348
G1FV3-30089-MONOMER: Updating molecular-weight-seq from NIL to 47.217
G1FV3-26506-MONOMER: Updating molecular-weight-seq from NIL to 48.889
G1FV3-28053-MONOMER: Updating molecular-weight-seq from NIL to 29.539
G1FV3-30090-MONOMER: Updating molecular-weight-seq from NIL to 67.106
G1FV3-24841-MONOMER: Updating molecular-weight-seq from NIL to 43.059
G1FV3-28054-MONOMER: Updating molecular-weight-seq from NIL to 12.892
G1FV3-26507-MONOMER: Updating molecular-weight-seq from NIL to 44.657
G1FV3-30091-MONOMER: Updating molecular-weight-seq from NIL to 66.153
G1FV3-28055-MONOMER: Updating molecular-weight-seq from NIL to 63.478
G1FV3-28363-MONOMER: Updating molecular-weight-seq from NIL to 37.675
G1FV3-24842-MONOMER: Updating molecular-weight-seq from NIL to 33.227
G1FV3-26508-MONOMER: Updating molecular-weight-seq from NIL to 20.576
G1FV3-28364-MONOMER: Updating molecular-weight-seq from NIL to 56.65
G1FV3-26509-MONOMER: Updating molecular-weight-seq from NIL to 17.974
G1FV3-24843-MONOMER: Updating molecular-weight-seq from NIL to 121.004
G1FV3-28058-MONOMER: Updating molecular-weight-seq from NIL to 57.398
G1FV3-28365-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24844-MONOMER: Updating molecular-weight-seq from NIL to 69.259
G1FV3-30093-MONOMER: Updating molecular-weight-seq from NIL to 36.356
G1FV3-28366-MONOMER: Updating molecular-weight-seq from NIL to 34.13
G1FV3-28060-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-26510-MONOMER: Updating molecular-weight-seq from NIL to 34.322
G1FV3-30094-MONOMER: Updating molecular-weight-seq from NIL to 54.481
G1FV3-28061-MONOMER: Updating molecular-weight-seq from NIL to 97.612
G1FV3-24845-MONOMER: Updating molecular-weight-seq from NIL to 75.777
G1FV3-26511-MONOMER: Updating molecular-weight-seq from NIL to 62.361
G1FV3-28367-MONOMER: Updating molecular-weight-seq from NIL to 38.47
G1FV3-28063-MONOMER: Updating molecular-weight-seq from NIL to 287.059
G1FV3-26512-MONOMER: Updating molecular-weight-seq from NIL to 34.37
G1FV3-24846-MONOMER: Updating molecular-weight-seq from NIL to 43.69
G1FV3-30095-MONOMER: Updating molecular-weight-seq from NIL to 54.579
G1FV3-28064-MONOMER: Updating molecular-weight-seq from NIL to 48.472
G1FV3-28368-MONOMER: Updating molecular-weight-seq from NIL to 13.263
G1FV3-28065-MONOMER: Updating molecular-weight-seq from NIL to 53.001
G1FV3-24847-MONOMER: Updating molecular-weight-seq from NIL to 47.908
G1FV3-28066-MONOMER: Updating molecular-weight-seq from NIL to 164.277
G1FV3-28369-MONOMER: Updating molecular-weight-seq from NIL to 42.879
G1FV3-30096-MONOMER: Updating molecular-weight-seq from NIL to 63.096
G1FV3-26513-MONOMER: Updating molecular-weight-seq from NIL to 66.05
G1FV3-28067-MONOMER: Updating molecular-weight-seq from NIL to 227.945
G1FV3-24848-MONOMER: Updating molecular-weight-seq from NIL to 59.039
G1FV3-28068-MONOMER: Updating molecular-weight-seq from NIL to 53.556
G1FV3-28370-MONOMER: Updating molecular-weight-seq from NIL to 114.823
G1FV3-30097-MONOMER: Updating molecular-weight-seq from NIL to 101.694
G1FV3-26514-MONOMER: Updating molecular-weight-seq from NIL to 53.354
G1FV3-30098-MONOMER: Updating molecular-weight-seq from NIL to 27.669
G1FV3-28069-MONOMER: Updating molecular-weight-seq from NIL to 92.693
G1FV3-24849-MONOMER: Updating molecular-weight-seq from NIL to 96.56
G1FV3-28070-MONOMER: Updating molecular-weight-seq from NIL to 50.861
G1FV3-26515-MONOMER: Updating molecular-weight-seq from NIL to 30.569
G1FV3-30099-MONOMER: Updating molecular-weight-seq from NIL to 49.782
G1FV3-28371-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28071-MONOMER: Updating molecular-weight-seq from NIL to 50.353
G1FV3-24850-MONOMER: Updating molecular-weight-seq from NIL to 81.487
G1FV3-28072-MONOMER: Updating molecular-weight-seq from NIL to 56.692
G1FV3-26516-MONOMER: Updating molecular-weight-seq from NIL to 65.19
G1FV3-28073-MONOMER: Updating molecular-weight-seq from NIL to 64.749
G1FV3-28372-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24851-MONOMER: Updating molecular-weight-seq from NIL to 21.197
G1FV3-30100-MONOMER: Updating molecular-weight-seq from NIL to 35.923
G1FV3-28074-MONOMER: Updating molecular-weight-seq from NIL to 106.899
G1FV3-26517-MONOMER: Updating molecular-weight-seq from NIL to 66.27
G1FV3-28373-MONOMER: Updating molecular-weight-seq from NIL to 429.196
G1FV3-28075-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28076-MONOMER: Updating molecular-weight-seq from NIL to 50.741
G1FV3-24852-MONOMER: Updating molecular-weight-seq from NIL to 12.197
G1FV3-30101-MONOMER: Updating molecular-weight-seq from NIL to 119.453
G1FV3-26518-MONOMER: Updating molecular-weight-seq from NIL to 81.422
G1FV3-28077-MONOMER: Updating molecular-weight-seq from NIL to 95.544
G1FV3-30102-MONOMER: Updating molecular-weight-seq from NIL to 45.636
G1FV3-28374-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24853-MONOMER: Updating molecular-weight-seq from NIL to 66.466
G1FV3-28078-MONOMER: Updating molecular-weight-seq from NIL to 67.85
G1FV3-26519-MONOMER: Updating molecular-weight-seq from NIL to 40.914
G1FV3-28079-MONOMER: Updating molecular-weight-seq from NIL to 134.059
G1FV3-28375-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-24854-MONOMER: Updating molecular-weight-seq from NIL to 44.801
G1FV3-30103-MONOMER: Updating molecular-weight-seq from NIL to 89.409
G1FV3-28080-MONOMER: Updating molecular-weight-seq from NIL to 44.433
G1FV3-26520-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-30104-MONOMER: Updating molecular-weight-seq from NIL to 34.504
G1FV3-28081-MONOMER: Updating molecular-weight-seq from NIL to 22.517
G1FV3-28386-MONOMER: Updating molecular-weight-seq from NIL to 85.159
G1FV3-28379-MONOMER: Updating molecular-weight-seq from NIL to 25.066
G1FV3-28082-MONOMER: Updating molecular-weight-seq from NIL to 48.583
G1FV3-26521-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-30105-MONOMER: Updating molecular-weight-seq from NIL to 36.742
G1FV3-28083-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28177-MONOMER: Updating molecular-weight-seq from NIL to 14.424
G1FV3-24855-MONOMER: Updating molecular-weight-seq from NIL to 44.514
G1FV3-26522-MONOMER: Updating molecular-weight-seq from NIL to 57.65
G1FV3-28378-MONOMER: Updating molecular-weight-seq from NIL to 58.878
G1FV3-28127-MONOMER: Updating molecular-weight-seq from NIL to 32.225
G1FV3-30106-MONOMER: Updating molecular-weight-seq from NIL to 29.852
G1FV3-28085-MONOMER: Updating molecular-weight-seq from NIL to 81.855
G1FV3-28086-MONOMER: Updating molecular-weight-seq from NIL to 49.234
G1FV3-26523-MONOMER: Updating molecular-weight-seq from NIL to 16.52
G1FV3-28381-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28087-MONOMER: Updating molecular-weight-seq from NIL to 98.287
G1FV3-30107-MONOMER: Updating molecular-weight-seq from NIL to 26.518
G1FV3-28088-MONOMER: Updating molecular-weight-seq from NIL to 98.467
G1FV3-24856-MONOMER: Updating molecular-weight-seq from NIL to 208.877
G1FV3-26524-MONOMER: Updating molecular-weight-seq from NIL to 121.251
G1FV3-28090-MONOMER: Updating molecular-weight-seq from NIL to 61.597
G1FV3-28380-MONOMER: Updating molecular-weight-seq from NIL to 14.909
G1FV3-28091-MONOMER: Updating molecular-weight-seq from NIL to 51.37
G1FV3-30108-MONOMER: Updating molecular-weight-seq from NIL to 19.478
G1FV3-26525-MONOMER: Updating molecular-weight-seq from NIL to 43.446
G1FV3-30109-MONOMER: Updating molecular-weight-seq from NIL to 79.599
G1FV3-28099-MONOMER: Updating molecular-weight-seq from NIL to 162.741
G1FV3-24857-MONOMER: Updating molecular-weight-seq from NIL to 33.481
G1FV3-28093-MONOMER: Updating molecular-weight-seq from NIL to 89.657
G1FV3-26526-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-28094-MONOMER: Updating molecular-weight-seq from NIL to 21.425
G1FV3-28382-MONOMER: Updating molecular-weight-seq from NIL to 41.704
G1FV3-26527-MONOMER: Updating molecular-weight-seq from NIL to 6.442
G1FV3-30110-MONOMER: Updating molecular-weight-seq from NIL to 125.875
G1FV3-28095-MONOMER: Updating molecular-weight-seq from NIL to 68.437
G1FV3-28383-MONOMER: Updating molecular-weight-seq from NIL to 36.595
G1FV3-28096-MONOMER: Updating molecular-weight-seq from NIL to 22.434
G1FV3-28097-MONOMER: Updating molecular-weight-seq from NIL to 42.939
G1FV3-24858-MONOMER: Updating molecular-weight-seq from NIL to 65.705
G1FV3-30111-MONOMER: Updating molecular-weight-seq from NIL to 35.295
G1FV3-26528-MONOMER: Updating molecular-weight-seq from NIL to 33.746
G1FV3-28098-MONOMER: Updating molecular-weight-seq from NIL to 26.527
G1FV3-30112-MONOMER: Updating molecular-weight-seq from NIL to 77.772
G1FV3-28384-MONOMER: Updating molecular-weight-seq from NIL to 148.076
G1FV3-26529-MONOMER: Updating molecular-weight-seq from NIL to 41.214
G1FV3-28100-MONOMER: Updating molecular-weight-seq from NIL to 187.454
G1FV3-28385-MONOMER: Updating molecular-weight-seq from NIL to 15.085
